"Model","OddsRatio","LowCI","HighCI","Intercept"
"elev100",0.561090894294423,-0.642022064520743,-0.517735570450611,4527.14910932067
"distHuman",0.997895341840523,-0.00243294806178334,-0.00180455836821512,0.683334497822935
"sheep",0.882107103995915,-0.195396516613001,-0.0564220069533232,0.316536737955364
"goat",0.558138196331538,-0.67056117037682,-0.499240154150964,0.89159424658627
"moose",1.56154370288248,0.35889357568272,0.535715743546923,0.0428446526372771
"elk ",3.08796937689797,0.993588227429209,1.26855419731582,0.0026994480832614
"deer",3.28395384256371,1.04996281906898,1.33601368644761,0.00196954646958384
"elevrd100",0.656465283872013,-0.527599336685879,-0.322895119409512,513.758044557457
"distHumanrd",0.998684360542862,-0.00177436849950825,-0.000921045534265163,0.323815516735113
"sheeprd",1.20822808056465,0.0541170013240011,0.325221647354961,0.0604306580049291
"goatrd",0.773509076763815,-0.406839173386174,-0.110526613814556,0.220075693594568
"mooserd",1.90664412124969,0.458782451661818,0.849983430122354,0.0107306822810531
"elkrd",2.06894030722837,0.523165236827564,0.948713577102449,0.00812331223005437
"deerrd",2.10195596250652,0.519269611722109,0.994035825475475,0.00959172624894423
"elevbv100",0.261319508476305,-1.55939796170033,-1.14523767536686,366964819.386737
"distHumanbv",0.997115777280229,-0.00340315918613664,-0.00241725249941663,1.25211424651537
"sheepbv",0.756383226702724,-0.36713520289597,-0.193105483890974,0.685506891511286
"goatbv",0.511198515452554,-0.787306133247036,-0.561588370124194,1.36549445087784
"moosebv",1.32995440338668,0.181862103091726,0.392013178152821,0.107326028535264
"elkbv",3.61601644201592,1.10790068010983,1.47390355683258,0.00169796791737431
"deerbv",3.87227249413264,1.17224120642563,1.54622368049399,0.000979081887164789
