"","prefprey","moose_w2","sheep_w2","goat_w2","Elevation2","DistFromHumanAccess2","populus","alpinerock","shrubreg","closedConif","modConif","openConif","herb","water","burn"
"prefprey",1,0,0,0,0,0,1.24122934153093e-13,0,0.00051300919935604,1.54620760639546e-12,0,1.75256788237377e-06,3.91197665372545e-08,4.59440165911928e-08,5.98632254877884e-13
"moose_w2",0.724740676156399,1,2.22044604925031e-16,0,0,0,0.00377684778633802,0,0.00232412091699641,0,0,1.11974443484097e-06,0.0053406076575826,3.4224621026091e-07,0.477630179801853
"sheep_w2",0.297396492629731,0.177586400300924,1,0,0.605201699565962,0.000211784191010755,0.988532243352178,0.00439869001106175,0.00512837227730789,0.362799717951302,0.260873032965753,0.52332192657163,0.463386948635007,0.0629509492025848,0.0117222636581096
"goat_w2",-0.274667407599194,-0.322344982053384,0.414146928729061,1,0,0,4.01592003398399e-05,0,0.262023999812764,3.15340054894975e-05,0,0.0790303768694541,0.215045580809073,0.655913891358409,0.409646502945622
"Elevation2",-0.800832275497585,-0.724660907098854,-0.0112386851028276,0.494958474815303,1,0,1.56541446472147e-12,0,3.33517630158875e-05,7.7715611723761e-16,0,0.000282400673157768,3.47611889861543e-06,3.33605942448578e-06,0.000238020348278356
"DistFromHumanAccess2",-0.557302021366724,-0.510492710064905,-0.0804122947181291,0.278728941569084,0.662251706406083,1,1.33801441259962e-07,0,4.74742550737872e-06,1.4157520447089e-06,0,0.00757481788222869,0.0188756734510447,0.0285892794919367,3.61123844583311e-05
"populus",0.160113993924363,0.0629064231893174,0.000312497702404802,-0.0891059867965606,-0.152779498754562,-0.11428038179742,1,6.95763717528664e-06,0.129307818015264,0.000371010880680034,8.01443943909685e-06,0.11435088529255,0.372833334130376,0.508176475813218,0.224157009876778
"alpinerock",-0.701918766450584,-0.715466914395395,-0.061862309659092,0.403446208644492,0.76567416583043,0.532793133118644,-0.0974956164802299,1,7.46269712692538e-12,0,0,9.88986670336089e-13,6.07752414376606e-05,0.00293222095349843,4.30634957693243e-08
"shrubreg",0.0754202519706426,0.066138512910487,0.0607956312266361,0.0243823016049195,-0.090029231620834,-0.0992367747151371,-0.0329696505201586,-0.148076527613134,1,6.0466885276611e-08,1.03014263785894e-11,0.0164392666185171,0.175835328961427,0.314883151727468,0.064805314422417
"closedConif",0.152816248031276,0.214331281205195,0.019783949367656,-0.0903060922566391,-0.173880264122861,-0.104567741559951,-0.0772822734862801,-0.347097725433878,-0.117376463855864,1,0,1.69346490164202e-08,0.00149216439165256,0.018418515991991,1.44847320440178e-05
"modConif",0.314226814685881,0.37781422946327,-0.0244411941806677,-0.285685519992427,-0.404346151146266,-0.272264181957192,-0.0968440510387566,-0.43495549912002,-0.14708692878224,-0.34477806337243,1,1.4024337247065e-12,6.80845983076495e-05,0.00312837344197936,5.30006967203178e-08
"openConif",0.103646280096009,0.105571655818326,0.0138756048871643,-0.0381718983666767,-0.0788197725231682,-0.0580113643314965,-0.0343186255711272,-0.154135176650437,-0.0521231937443906,-0.122178999485281,-0.153105087729043,1,0.158804856808505,0.29548703728989,0.0545782964363368
"herb",0.11904084528583,0.0605111651749024,0.0159417657570804,-0.0269506856393956,-0.100635561793173,-0.0510157732416885,-0.019373919622978,-0.0870140477307295,-0.0294251459460055,-0.0689738028913134,-0.0864325308536548,-0.0306290952486529,1,0.554830277763667,0.27799760793107
"water",0.118428917799212,0.110511687815344,0.0404129947356553,-0.00968704080368795,-0.10081876097862,-0.0475678988596267,-0.0143852979587963,-0.064608660899103,-0.0218484178809291,-0.0512136276629351,-0.0641768797362006,-0.0227423603449686,-0.0128387618684507,1,0.420563497443996
"burn",0.155603372019048,0.0154382793026632,0.0547565942693234,0.0179249357029814,-0.0797694153029438,-0.0896350177305932,-0.0264234727785184,-0.118675692183356,-0.0401320206772228,-0.0940711760240783,-0.117882579810091,-0.0417740488390145,-0.0235827353533157,-0.0175103789704243,1
